nom,date,cumulative_confirmed_cases
Aru,2026-06-10,3
Kilo,2026-06-10,4
Nizi,2026-06-10,7
Mangala,2026-06-10,2
Damas,2026-06-10,3
Aungba,2026-06-10,2
Gethy,2026-06-10,1
Komanda,2026-06-10,3
Lita,2026-06-10,6
Logo,2026-06-10,2
Mambasa,2026-06-10,2
Rimba,2026-06-10,3
Tchomia,2026-06-10,2
Kambala,2026-06-10,1
Katwa,2026-06-10,18
Beni,2026-06-10,9
Butembo,2026-06-10,9
Oicha,2026-06-10,2
Kalunguta,2026-06-10,1
Kyondo,2026-06-10,2
Goma,2026-06-10,1
Masereka,2026-06-10,1
Vuhovi,2026-06-10,1
Miti-Murhesa,2026-06-10,3
NA,2026-06-10,94
Bunia,2026-06-11,191
Rwampara,2026-06-11,142
Mongbwalu,2026-06-11,136
Nyankunde,2026-06-11,33
Bambu,2026-06-11,7
Aru,2026-06-11,3
Kilo,2026-06-11,4
Nizi,2026-06-11,9
Mangala,2026-06-11,2
Damas,2026-06-11,3
Aungba,2026-06-11,2
Gethy,2026-06-11,1
Komanda,2026-06-11,3
Lita,2026-06-11,6
Logo,2026-06-11,2
Mambasa,2026-06-11,2
Rimba,2026-06-11,3
Tchomia,2026-06-11,2
Kambala,2026-06-11,1
Katwa,2026-06-11,16
Beni,2026-06-11,9
Butembo,2026-06-11,7
Oicha,2026-06-11,2
Kalunguta,2026-06-11,1
Kyondo,2026-06-11,2
Goma,2026-06-11,1
Masereka,2026-06-11,1
Vuhovi,2026-06-11,1
Miti-Murhesa,2026-06-11,3
NA,2026-06-11,94
Bunia,2026-06-13,212
Rwampara,2026-06-13,149
Mongbwalu,2026-06-13,164
Nyankunde,2026-06-13,38
Bambu,2026-06-13,7
Aru,2026-06-13,3
Kilo,2026-06-13,4
Nizi,2026-06-13,11
Mangala,2026-06-13,5
Damas,2026-06-13,4
Aungba,2026-06-13,2
Gethy,2026-06-13,1
Komanda,2026-06-13,6
Lita,2026-06-13,6
Logo,2026-06-13,2
Mambasa,2026-06-13,2
Rimba,2026-06-13,3
Tchomia,2026-06-13,2
Kambala,2026-06-13,1
Nia-Nia,2026-06-13,1
Katwa,2026-06-13,21
Beni,2026-06-13,14
Butembo,2026-06-13,18
Oicha,2026-06-13,2
Kalunguta,2026-06-13,1
Kyondo,2026-06-13,2
Goma,2026-06-13,1
Masereka,2026-06-13,1
Vuhovi,2026-06-13,1
Mabalako,2026-06-13,1
Miti-Murhesa,2026-06-13,3
NA,2026-06-13,94
Bunia,2026-06-14,215
Rwampara,2026-06-14,152
Mongbwalu,2026-06-14,175
Nyankunde,2026-06-14,42
Bambu,2026-06-14,7
Aru,2026-06-14,3
Kilo,2026-06-14,4
Nizi,2026-06-14,11
Mangala,2026-06-14,5
Damas,2026-06-14,4
Aungba,2026-06-14,2
Gethy,2026-06-14,1
Komanda,2026-06-14,6
Lita,2026-06-14,6
Logo,2026-06-14,2
Mambasa,2026-06-14,2
Rimba,2026-06-14,3
Tchomia,2026-06-14,2
Kambala,2026-06-14,1
Nia-Nia,2026-06-14,1
Katwa,2026-06-14,25
Beni,2026-06-14,14
Butembo,2026-06-14,19
Oicha,2026-06-14,2
Kalunguta,2026-06-14,1
Kyondo,2026-06-14,2
Goma,2026-06-14,1
Masereka,2026-06-14,1
Vuhovi,2026-06-14,1
Mabalako,2026-06-14,1
Miti-Murhesa,2026-06-14,3
NA,2026-06-14,94
Bunia,2026-06-15,215
Rwampara,2026-06-15,192
Mongbwalu,2026-06-15,185
Nyankunde,2026-06-15,45
Bambu,2026-06-15,7
Aru,2026-06-15,3
Kilo,2026-06-15,4
Nizi,2026-06-15,16
Mangala,2026-06-15,5
Damas,2026-06-15,4
Aungba,2026-06-15,2
Gethy,2026-06-15,1
Komanda,2026-06-15,7
Lita,2026-06-15,9
Logo,2026-06-15,2
Mambasa,2026-06-15,2
Rimba,2026-06-15,3
Tchomia,2026-06-15,2
Kambala,2026-06-15,1
Nia-Nia,2026-06-15,1
Katwa,2026-06-15,25
Beni,2026-06-15,14
Butembo,2026-06-15,19
Oicha,2026-06-15,2
Kalunguta,2026-06-15,1
Kyondo,2026-06-15,2
Goma,2026-06-15,1
Masereka,2026-06-15,1
Vuhovi,2026-06-15,1
Mabalako,2026-06-15,1
Miti-Murhesa,2026-06-15,3
NA,2026-06-15,94
Bunia,2026-06-16,226
Rwampara,2026-06-16,172
Mongbwalu,2026-06-16,189
Nyankunde,2026-06-16,45
Bambu,2026-06-16,7
Nizi,2026-06-16,16
Komanda,2026-06-16,7
Lita,2026-06-16,9
Mangala,2026-06-16,5
Tchomia,2026-06-16,5
Kilo,2026-06-16,4
Damas,2026-06-16,4
Rimba,2026-06-16,3
Aru,2026-06-16,3
Aungba,2026-06-16,2
Mambasa,2026-06-16,2
Logo,2026-06-16,2
Fataki,2026-06-16,1
Gety,2026-06-16,1
Kambala,2026-06-16,1
Nia-Nia,2026-06-16,1
Katwa,2026-06-16,23
Butembo,2026-06-16,24
Beni,2026-06-16,14
Oicha,2026-06-16,3
Kyondo,2026-06-16,2
Kalunguta,2026-06-16,2
Goma,2026-06-16,1
Masereka,2026-06-16,1
Vuhovi,2026-06-16,1
Mabalako,2026-06-16,1
Musienene,2026-06-16,1
Miti-Murhesa,2026-06-16,3
Bunia,2026-06-17,247
Rwampara,2026-06-17,195
Mongbwalu,2026-06-17,189
Nyankunde,2026-06-17,68
Nizi,2026-06-17,25
Lita,2026-06-17,18
Komanda,2026-06-17,10
Bambu,2026-06-17,9
Kilo,2026-06-17,7
Mangala,2026-06-17,5
Tchomia,2026-06-17,5
Damas,2026-06-17,4
Aungba,2026-06-17,4
Rimba,2026-06-17,3
Aru,2026-06-17,3
Mambasa,2026-06-17,2
Logo,2026-06-17,2
Drodro,2026-06-17,1
Gety,2026-06-17,1
Kambala,2026-06-17,1
Nia-Nia,2026-06-17,1
Fataki,2026-06-17,1
NA,2026-06-17,17
Butembo,2026-06-17,25
Katwa,2026-06-17,24
Beni,2026-06-17,15
Oicha,2026-06-17,3
Kalunguta,2026-06-17,2
Kyondo,2026-06-17,2
Goma,2026-06-17,1
Masereka,2026-06-17,1
Vuhovi,2026-06-17,1
Mabalako,2026-06-17,1
Musienene,2026-06-17,1
Miti-Murhesa,2026-06-17,3
Bunia,2026-06-18,253
Rwampara,2026-06-18,199
Mongbwalu,2026-06-18,198
Nyankunde,2026-06-18,77
Nizi,2026-06-18,26
Lita,2026-06-18,20
Komanda,2026-06-18,10
Bambu,2026-06-18,9
Kilo,2026-06-18,7
Mangala,2026-06-18,7
Tchomia,2026-06-18,5
Damas,2026-06-18,4
Aungba,2026-06-18,6
Rimba,2026-06-18,3
Aru,2026-06-18,3
Mambasa,2026-06-18,2
Logo,2026-06-18,2
Drodro,2026-06-18,1
Gety,2026-06-18,1
Kambala,2026-06-18,1
Nia-Nia,2026-06-18,1
Fataki,2026-06-18,1
Butembo,2026-06-18,25
Katwa,2026-06-18,24
Beni,2026-06-18,16
Oicha,2026-06-18,3
Kalunguta,2026-06-18,2
Kyondo,2026-06-18,2
Goma,2026-06-18,1
Masereka,2026-06-18,1
Vuhovi,2026-06-18,1
Mabalako,2026-06-18,1
Musienene,2026-06-18,1
Miti-Murhesa,2026-06-18,3
NA,2026-06-18,17-
Bunia,2026-06-19,259
Rwampara,2026-06-19,201
Mongbwalu,2026-06-19,209
Nyankunde,2026-06-19,79
Nizi,2026-06-19,26
Lita,2026-06-19,20
Komanda,2026-06-19,10
Bambu,2026-06-19,9
Kilo,2026-06-19,7
Mangala,2026-06-19,7
Tchomia,2026-06-19,5
Damas,2026-06-19,4
Aungba,2026-06-19,6
Rimba,2026-06-19,3
Aru,2026-06-19,3
Mambasa,2026-06-19,2
Logo,2026-06-19,2
Drodro,2026-06-19,1
Gety,2026-06-19,1
Kambala,2026-06-19,1
Nia-Nia,2026-06-19,1
Fataki,2026-06-19,1
Butembo,2026-06-19,25
Katwa,2026-06-19,26
Beni,2026-06-19,16
Oicha,2026-06-19,3
Kalunguta,2026-06-19,2
Kyondo,2026-06-19,2
Goma,2026-06-19,1
Masereka,2026-06-19,1
Vuhovi,2026-06-19,1
Mabalako,2026-06-19,1
Musienene,2026-06-19,1
Miti-Murhesa,2026-06-19,3
NA,2026-06-19,17
